0.0
0.5733	0.4712	0.1929	1.0101	1.0101	1.1339	0.6558	0.5345	0.3397	1.1022	1.1022	1.2562	0.5668	0.4961	0.2221	0.5946	0.5946	0.4948	1.0101	1.1022	0.5946	-2.0306	1.1022	1.7365	1.0101	1.1022	0.5946	1.1022	1.1022	1.7365	1.1339	1.2562	0.4948	1.7365	1.7365	0.4635
0.6433	0.6002	-0.1867	0.6857	0.6857	1.3961	0.7552	0.6448	-0.1147	0.7257	0.7552	1.704	0.6274	0.6872	-0.683	0.7774	0.7774	0.7584	1.0508	1.1921	-2.6613	0.9254	1.1921	1.599	1.0508	1.1921	-0.1147	0.9254	1.1921	1.704	1.3961	1.704	0.7584	1.599	1.704	0.479
0.5764	-0.2322	0.9794	0.5491	0.9794	1.1	0.7461	-0.0224	1.0218	0.5649	1.0218	0.6941	0.5908	-0.5321	0.8843	0.3132	0.8843	1.1181	0.4001	-2.892	-0.0019	-0.0257	0.4001	1.6306	0.7461	-0.0224	1.0218	0.5649	1.0218	1.6306	1.1	0.6941	1.1181	1.4231	1.4231	0.4458
0.9809	0.4771	0.4853	0.6143	0.9809	1.6116	1.0426	0.5171	0.5675	0.6138	1.0426	1.2616	0.4052	0.6776	0.2386	0.5338	0.6776	1.0783	-2.0425	0.7757	0.0213	0.2432	0.7757	1.4724	1.0426	0.7757	0.5675	0.6143	1.0426	1.6116	1.6116	1.2616	1.0783	1.4724	1.6116	0.4784
0.9809	0.6002	0.9794	1.0101	1.0101	1.6116	1.0426	0.6448	1.0218	1.1022	1.1022	1.704	0.6274	0.6872	0.8843	0.7774	0.8843	1.1181	1.0508	1.1921	0.5946	0.9254	1.1921	1.7365	1.0508	1.1921	1.0218	1.1022	1.1921	1.7365	1.6116	1.704	1.1181	1.7365	1.7365	0.479
1.3359	1.2303	0.405	1.4946	1.4946	20.0	1.393	1.2691	0.5458	1.5569	1.5569	20.0	1.7132	1.7822	0.8874	1.5075	1.7822	20.0	1.4946	1.5569	1.5075	1.7166	1.7166	1.6962	1.7132	1.7822	1.5075	1.7166	1.7822	20.0	20.0	20.0	20.0	20.0	20.0	20.0
0.5181	0.3712	0.1068	1.0508	1.0508	1.2661	0.5366	0.4361	0.3167	1.1921	1.1921	1.0791	-0.1867	-0.1147	-0.683	-2.1294	-0.1147	0.7584	0.519	0.3616	0.2724	0.9254	0.9254	1.599	0.5366	0.4361	0.3167	1.1921	1.1921	1.599	1.2661	1.0791	0.7584	1.599	1.599	0.3699
0.5793	0.461	-0.0267	0.5093	0.5793	1.3986	0.611	0.6089	0.0793	0.6581	0.6581	1.5151	-0.0267	0.0793	-3.1919	-0.078	0.0793	0.8695	0.6128	0.5179	-0.078	0.6243	0.6243	1.1995	0.6128	0.6089	0.0793	0.6581	0.6581	1.5151	1.3986	1.5151	0.8695	1.1995	1.5151	0.4141
0.3888	-0.1094	0.7995	0.6037	0.7995	1.096	0.6109	0.0661	1.019	0.6135	1.019	0.6666	-0.59	-3.9106	-1.3305	-0.0615	-0.0615	0.838	0.5939	-0.0578	0.9832	0.599	0.9832	1.6416	0.6109	0.0661	1.019	0.6135	1.019	1.6416	1.096	0.6666	0.838	1.6416	1.6416	0.3591
1.0643	0.3337	0.6496	0.4087	1.0643	1.6223	1.1448	0.4416	0.5957	0.4481	1.1448	1.4119	-1.8522	-0.1074	-0.0269	-0.5963	-0.0269	0.9104	0.7229	0.3959	0.4905	0.4354	0.7229	0.5762	1.1448	0.4416	0.6496	0.4481	1.1448	1.6223	1.6223	1.4119	1.6754	0.5762	1.6754	0.438
